domain,model,agents,n,schema,empty_gt,empty_pred,empty_pred_BUG_correct,refusal_BUG_correct,pred_truncated_200,pred_truncated_pct,short_pred_correct_rate,reported_correct,reported_accuracy,corrected_acc_minus_empty,inflation_pp,file
legal,claude_sonnet_4_6,4,3000,correct_answer,22,22,0,396,433,14.433333333333334,71.23931623931624,2161,72.03333333333333,72.03333333333333,0.0,legal_claude_sonnet_4_6_4agent.json
legal,gemini_2_5_pro,2,950,correct_answer,0,0,0,72,541,56.94736842105264,0.0,866,91.15789473684211,91.15789473684211,0.0,legal_gemini_2_5_pro_2agent_parallel.json
legal,gpt_4o,1,3000,ground_truth,4,73,69,9,0,0.0,60.04447739065974,1691,56.36666666666667,54.06666666666666,2.3000000000000043,legal_gpt_4o_1agent_parallel.json
legal,gpt_4o,2,3000,ground_truth,3,3,0,3,0,0.0,44.04404404404404,1320,44.0,44.0,0.0,legal_gpt_4o_2agent_parallel.json
legal,gpt_4o,3,3000,ground_truth,12,13,1,0,0,0.0,34.348844994978236,1027,34.233333333333334,34.2,0.03333333333333144,legal_gpt_4o_3agent_parallel.json
legal,gpt_4o,4,3000,ground_truth,13,13,0,0,0,0.0,23.90358218948778,714,23.799999999999997,23.799999999999997,0.0,legal_gpt_4o_4agent_parallel.json
logic,claude_sonnet_4_6,1,1500,correct_answer,0,0,0,1,803,53.53333333333333,0.0,270,18.0,18.0,0.0,logic_claude_sonnet_4_6_1agent.json
logic,claude_sonnet_4_6,2,1500,correct_answer,6,6,0,7,463,30.866666666666664,19.287833827893174,334,22.26666666666667,22.26666666666667,0.0,logic_claude_sonnet_4_6_2agent.json
logic,claude_sonnet_4_6,3,1500,correct_answer,4,4,0,6,188,12.533333333333333,19.66824644549763,305,20.333333333333332,20.333333333333332,0.0,logic_claude_sonnet_4_6_3agent.json
logic,claude_sonnet_4_6,4,1500,correct_answer,5,5,0,6,132,8.799999999999999,19.874804381846637,295,19.666666666666664,19.666666666666664,0.0,logic_claude_sonnet_4_6_4agent.json
logic,gemini_2_5_pro,4,800,correct_answer,0,0,0,3,115,14.374999999999998,36.84210526315789,206,25.75,25.75,0.0,logic_gemini_2_5_pro_4agent_parallel.json
logic,gemini_2_5_pro,4,25,NEITHER,25,25,0,0,0,0.0,0.0,0,0.0,0.0,0.0,logic_gemini_2_5_pro_4agent_subprocess.json
logic,gpt_4o,1,1500,ground_truth,30,42,12,7,3,0.2,20.660576247364723,314,20.933333333333334,20.133333333333333,0.8000000000000007,logic_gpt_4o_1agent.json
logic,gpt_4o,2,1500,ground_truth,66,86,20,2,0,0.0,38.87704335465529,567,37.8,36.46666666666666,1.3333333333333357,logic_gpt_4o_2agent.json
logic,gpt_4o,3,1500,ground_truth,49,52,3,0,0,0.0,25.594405594405593,372,24.8,24.6,0.1999999999999993,logic_gpt_4o_3agent.json
logic,gpt_4o,4,450,ground_truth,21,24,3,0,0,0.0,41.007194244604314,176,39.111111111111114,38.44444444444444,0.6666666666666714,logic_gpt_4o_4agent.json
long_context,claude_sonnet_4_6,1,902,correct_answer,2,2,0,14,878,97.33924611973393,0.0,30,3.325942350332594,3.325942350332594,0.0,long_context_claude_sonnet_4_6_1agent.json
long_context,claude_sonnet_4_6,2,902,correct_answer,0,0,0,67,805,89.24611973392462,0.0,178,19.733924611973393,19.733924611973393,0.0,long_context_claude_sonnet_4_6_2agent.json
long_context,claude_sonnet_4_6,3,902,correct_answer,1,1,0,44,513,56.87361419068736,0.0,67,7.427937915742794,7.427937915742794,0.0,long_context_claude_sonnet_4_6_3agent.json
long_context,claude_sonnet_4_6,4,902,correct_answer,4,4,0,14,451,50.0,0.0,14,1.5521064301552108,1.5521064301552108,0.0,long_context_claude_sonnet_4_6_4agent.json
long_context,gpt_4o,1,902,ground_truth,1,5,4,0,0,0.0,0.33594624860022393,7,0.7760532150776054,0.3325942350332594,0.443458980044346,long_context_gpt_4o_1agent_parallel.json
long_context,gpt_4o,2,902,ground_truth,18,18,0,0,0,0.0,2.944507361268403,26,2.882483370288248,2.882483370288248,0.0,long_context_gpt_4o_2agent_parallel.json
long_context,gpt_4o,3,902,ground_truth,35,37,2,0,0,0.0,0.0,2,0.22172949002217296,0.0,0.22172949002217296,long_context_gpt_4o_3agent_parallel.json
long_context,gpt_4o,4,902,ground_truth,50,53,3,0,0,0.0,0.7067137809187279,9,0.9977827050997782,0.6651884700665188,0.33259423503325936,long_context_gpt_4o_4agent_parallel.json
medical,claude_sonnet_4_6,1,150,correct_answer,0,0,0,0,148,98.66666666666667,0.0,25,16.666666666666664,16.666666666666664,0.0,medical_claude_sonnet_4_6_1agent.json
medical,claude_sonnet_4_6,2,5000,correct_answer,23,23,0,1,3802,76.03999999999999,27.144120247568527,951,19.02,19.02,0.0,medical_claude_sonnet_4_6_2agent.json
medical,claude_sonnet_4_6,3,5000,correct_answer,21,21,0,4,2591,51.82,27.53259779338014,1146,22.919999999999998,22.919999999999998,0.0,medical_claude_sonnet_4_6_3agent.json
medical,claude_sonnet_4_6,4,5000,correct_answer,15,15,0,2,1121,22.42,25.57610241820768,1251,25.019999999999996,25.019999999999996,0.0,medical_claude_sonnet_4_6_4agent.json
medical,gemini-2_5-pro,1,3950,ground_truth,20,25,5,6,2,0.05063291139240507,27.84439115374367,1184,29.974683544303797,29.848101265822784,0.12658227848101333,medical_gemini-2_5-pro_1agent.json
medical,gemini_2_5_pro,1,200,ground_truth,94,94,0,0,0,0.0,22.330097087378643,23,11.5,11.5,0.0,medical_gemini_2_5_pro_1agent.json
medical,gemini_2_5_pro,1,3750,ground_truth,18,23,5,5,2,0.05333333333333334,27.670311185870478,1118,29.81333333333333,29.68,0.1333333333333293,medical_gemini_2_5_pro_1agent_backup_75percent.json
medical,gemini_2_5_pro,1,3950,ground_truth,20,25,5,6,2,0.05063291139240507,27.84439115374367,1184,29.974683544303797,29.848101265822784,0.12658227848101333,medical_gemini_2_5_pro_1agent_backup_79percent.json
medical,gemini_2_5_pro,1,550,correct_answer,0,0,0,0,296,53.81818181818182,20.689655172413794,149,27.090909090909093,27.090909090909093,0.0,medical_gemini_2_5_pro_1agent_parallel.json
medical,gemini_2_5_pro,1,45,correct_answer,32,32,0,0,9,20.0,0.0,3,6.666666666666667,6.666666666666667,0.0,medical_gemini_2_5_pro_1agent_subprocess.json
medical,gpt_4o,1,5000,ground_truth,7,97,90,115,1,0.02,25.925147182506308,1425,28.499999999999996,26.700000000000003,1.7999999999999936,medical_gpt_4o_1agent.json
medical,gpt_4o,2,5000,ground_truth,25,43,18,4,0,0.0,25.6524377908153,1291,25.82,25.46,0.35999999999999943,medical_gpt_4o_2agent.json
medical,gpt_4o,3,5000,ground_truth,38,40,2,9,0,0.0,26.69893123613632,1326,26.52,26.479999999999997,0.0400000000000027,medical_gpt_4o_3agent.json
medical,gpt_4o,4,5000,ground_truth,79,82,3,5,0,0.0,26.194834248525524,1291,25.82,25.759999999999998,0.060000000000002274,medical_gpt_4o_4agent.json
