domain,item_id,axis,gpt,gemini
medical,medqa_1543,V,0.7,0.7
medical,medqa_1543,K,0.8,0.9
medical,medqa_1543,S,0.2,0.1
medical,medqa_4920,D,0.2,0.2
medical,medqa_4920,V,0.7,0.9
medical,medqa_4920,K,0.8,0.9
medical,medqa_4920,S,0.1,0.1
medical,medqa_2088,D,0.2,0.2
medical,medqa_2088,V,0.7,0.7
medical,medqa_2088,K,0.8,0.8
medical,medqa_2088,S,0.1,0.1
medical,medqa_3535,D,0.2,0.2
medical,medqa_3535,V,0.7,0.7
medical,medqa_3535,K,0.8,0.9
medical,medqa_3535,S,0.1,0.1
medical,medqa_911,D,0.2,0.1
medical,medqa_911,V,0.7,0.7
medical,medqa_911,K,0.9,0.9
medical,medqa_911,S,0.1,0.0
medical,medqa_407,D,0.2,0.1
medical,medqa_407,V,0.7,0.7
medical,medqa_407,K,0.8,0.8
medical,medqa_407,S,0.1,0.0
medical,medqa_17,D,0.2,0.0
medical,medqa_17,V,0.7,0.8
medical,medqa_17,K,0.8,1.0
medical,medqa_17,S,0.1,0.0
medical,medqa_541,D,0.2,0.3
medical,medqa_541,V,0.7,0.8
medical,medqa_541,K,0.5,0.8
medical,medqa_541,S,0.1,0.1
medical,medqa_1840,D,0.2,0.3
medical,medqa_1840,V,0.7,0.7
medical,medqa_1840,K,0.8,0.8
medical,medqa_1840,S,0.2,0.2
medical,medqa_2712,D,0.2,0.0
medical,medqa_2712,V,0.7,0.7
medical,medqa_2712,K,0.8,0.9
medical,medqa_2712,S,0.1,0.3
medical,medqa_3449,D,0.2,0.2
medical,medqa_3449,V,0.7,0.7
medical,medqa_3449,K,0.9,0.9
medical,medqa_3449,S,0.1,0.1
medical,medqa_201,D,0.2,0.0
medical,medqa_201,V,0.7,0.7
medical,medqa_201,K,0.9,0.8
medical,medqa_201,S,0.1,0.1
medical,medqa_1422,D,0.2,0.1
medical,medqa_1422,V,0.7,0.7
medical,medqa_1422,K,0.6,0.9
medical,medqa_1422,S,0.1,0.1
medical,medqa_2521,D,0.2,0.1
medical,medqa_2521,V,0.7,0.8
medical,medqa_2521,K,0.8,0.9
medical,medqa_2521,S,0.1,0.0
medical,medqa_1894,D,0.2,0.1
medical,medqa_1894,V,0.7,0.7
medical,medqa_1894,K,0.8,0.9
medical,medqa_1894,S,0.1,0.0
medical,medqa_3454,D,0.2,0.1
medical,medqa_3454,V,0.7,0.7
medical,medqa_3454,K,0.8,0.9
medical,medqa_3454,S,0.1,0.1
medical,medqa_3990,D,0.2,0.2
medical,medqa_3990,V,0.7,0.7
medical,medqa_3990,K,0.8,0.9
medical,medqa_3990,S,0.1,0.0
medical,medqa_4285,D,0.2,0.2
medical,medqa_4285,V,0.7,0.7
medical,medqa_4285,K,0.9,0.9
medical,medqa_4285,S,0.2,0.1
medical,medqa_1785,D,0.2,0.0
medical,medqa_1785,V,0.7,0.7
medical,medqa_1785,K,0.8,1.0
medical,medqa_1785,S,0.1,0.0
medical,medqa_507,D,0.2,0.1
medical,medqa_507,V,0.8,1.0
medical,medqa_507,K,0.6,0.8
medical,medqa_507,S,0.1,0.0
medical,medqa_2834,D,0.2,0.2
medical,medqa_2834,V,0.7,0.7
medical,medqa_2834,K,0.6,0.8
medical,medqa_2834,S,0.1,0.1
medical,medqa_2471,D,0.2,0.2
medical,medqa_2471,V,0.7,0.7
medical,medqa_2471,K,0.8,0.8
medical,medqa_2471,S,0.1,0.1
medical,medqa_3731,D,0.2,0.2
medical,medqa_3731,V,0.7,0.7
medical,medqa_3731,K,0.6,0.8
medical,medqa_3731,S,0.1,0.1
medical,medqa_4225,D,0.2,0.0
medical,medqa_4225,V,0.7,0.7
medical,medqa_4225,K,0.8,0.9
medical,medqa_4225,S,0.1,0.0
medical,medqa_2654,D,0.2,0.1
medical,medqa_2654,V,0.7,0.7
medical,medqa_2654,K,0.9,1.0
medical,medqa_2654,S,0.1,0.0
medical,medqa_94,D,0.2,0.0
medical,medqa_94,V,0.7,0.7
medical,medqa_94,K,0.9,1.0
medical,medqa_94,S,0.1,0.0
medical,medqa_1184,D,0.2,0.0
medical,medqa_1184,V,0.7,0.7
medical,medqa_1184,K,0.8,0.9
medical,medqa_1184,S,0.1,0.3
legal,legalbench_privacy_policy_qa_2781,D,0.2,0.0
legal,legalbench_privacy_policy_qa_2781,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2781,K,0.8,0.9
legal,legalbench_privacy_policy_qa_2781,S,0.2,0.0
legal,legalbench_rule_qa_36,D,0.2,0.1
legal,legalbench_rule_qa_36,V,0.8,0.9
legal,legalbench_rule_qa_36,K,1.0,1.0
legal,legalbench_rule_qa_36,S,0.4,0.0
legal,legalbench_privacy_policy_qa_2971,D,0.2,0.0
legal,legalbench_privacy_policy_qa_2971,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2971,K,0.8,0.8
legal,legalbench_privacy_policy_qa_2971,S,0.2,0.0
legal,legalbench_privacy_policy_qa_1635,D,0.2,0.1
legal,legalbench_privacy_policy_qa_1635,V,0.7,0.8
legal,legalbench_privacy_policy_qa_1635,K,0.8,0.8
legal,legalbench_privacy_policy_qa_1635,S,0.2,0.1
legal,legalbench_privacy_policy_qa_2056,D,0.2,0.1
legal,legalbench_privacy_policy_qa_2056,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2056,K,0.8,0.7
legal,legalbench_privacy_policy_qa_2056,S,0.2,0.1
legal,legalbench_privacy_policy_qa_446,D,0.2,0.1
legal,legalbench_privacy_policy_qa_446,V,0.7,0.7
legal,legalbench_privacy_policy_qa_446,K,0.8,0.8
legal,legalbench_privacy_policy_qa_446,S,0.2,0.1
legal,legalbench_contract_nli_explicit_identification_132,D,0.2,0.1
legal,legalbench_contract_nli_explicit_identification_132,V,0.7,0.7
legal,legalbench_contract_nli_explicit_identification_132,K,0.8,0.8
legal,legalbench_contract_nli_explicit_identification_132,S,0.2,0.1
legal,legalbench_privacy_policy_qa_2422,D,0.2,0.0
legal,legalbench_privacy_policy_qa_2422,V,0.7,0.8
legal,legalbench_privacy_policy_qa_2422,K,0.8,0.8
legal,legalbench_privacy_policy_qa_2422,S,0.2,0.0
legal,legalbench_privacy_policy_qa_2783,D,0.2,0.0
legal,legalbench_privacy_policy_qa_2783,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2783,K,0.8,0.7
legal,legalbench_privacy_policy_qa_2783,S,0.2,0.0
legal,legalbench_privacy_policy_qa_2817,D,0.2,0.1
legal,legalbench_privacy_policy_qa_2817,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2817,K,0.8,0.8
legal,legalbench_privacy_policy_qa_2817,S,0.2,0.1
legal,legalbench_privacy_policy_qa_1149,D,0.2,0.1
legal,legalbench_privacy_policy_qa_1149,V,0.7,0.7
legal,legalbench_privacy_policy_qa_1149,K,0.8,0.9
legal,legalbench_privacy_policy_qa_1149,S,0.2,0.3
legal,legalbench_privacy_policy_qa_1420,D,0.2,0.1
legal,legalbench_privacy_policy_qa_1420,V,0.7,0.7
legal,legalbench_privacy_policy_qa_1420,K,0.8,0.8
legal,legalbench_privacy_policy_qa_1420,S,0.2,0.2
legal,legalbench_privacy_policy_qa_1729,D,0.2,0.1
legal,legalbench_privacy_policy_qa_1729,V,0.7,0.7
legal,legalbench_privacy_policy_qa_1729,K,0.8,0.7
legal,legalbench_privacy_policy_qa_1729,S,0.2,0.0
legal,legalbench_privacy_policy_qa_2980,D,0.2,0.1
legal,legalbench_privacy_policy_qa_2980,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2980,K,0.8,0.8
legal,legalbench_privacy_policy_qa_2980,S,0.2,0.1
legal,legalbench_privacy_policy_qa_2231,D,0.2,0.1
legal,legalbench_privacy_policy_qa_2231,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2231,K,0.8,0.8
legal,legalbench_privacy_policy_qa_2231,S,0.4,0.0
legal,legalbench_privacy_policy_qa_1402,D,0.2,0.1
legal,legalbench_privacy_policy_qa_1402,V,0.7,0.7
legal,legalbench_privacy_policy_qa_1402,K,0.8,0.8
legal,legalbench_privacy_policy_qa_1402,S,0.2,0.1
legal,legalbench_privacy_policy_qa_893,D,0.2,0.1
legal,legalbench_privacy_policy_qa_893,V,0.7,0.7
legal,legalbench_privacy_policy_qa_893,K,0.8,0.8
legal,legalbench_privacy_policy_qa_893,S,0.2,0.1
legal,legalbench_privacy_policy_qa_1584,D,0.2,0.2
legal,legalbench_privacy_policy_qa_1584,V,0.7,0.7
legal,legalbench_privacy_policy_qa_1584,K,0.8,0.9
legal,legalbench_privacy_policy_qa_1584,S,0.2,0.1
legal,legalbench_privacy_policy_qa_556,D,0.2,0.1
legal,legalbench_privacy_policy_qa_556,V,0.7,0.7
legal,legalbench_privacy_policy_qa_556,K,0.8,0.8
legal,legalbench_privacy_policy_qa_556,S,0.2,0.1
legal,legalbench_privacy_policy_qa_285,D,0.2,0.1
legal,legalbench_privacy_policy_qa_285,V,0.7,0.7
legal,legalbench_privacy_policy_qa_285,K,0.8,0.8
legal,legalbench_privacy_policy_qa_285,S,0.2,0.2
legal,legalbench_privacy_policy_qa_2592,D,0.2,0.1
legal,legalbench_privacy_policy_qa_2592,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2592,K,0.8,0.9
legal,legalbench_privacy_policy_qa_2592,S,0.2,0.1
legal,legalbench_privacy_policy_qa_445,D,0.2,0.2
legal,legalbench_privacy_policy_qa_445,V,0.7,0.7
legal,legalbench_privacy_policy_qa_445,K,0.8,0.8
legal,legalbench_privacy_policy_qa_445,S,0.2,0.1
legal,legalbench_privacy_policy_qa_1603,D,0.2,0.0
legal,legalbench_privacy_policy_qa_1603,V,0.7,0.7
legal,legalbench_privacy_policy_qa_1603,K,0.8,0.8
legal,legalbench_privacy_policy_qa_1603,S,0.2,0.0
legal,legalbench_privacy_policy_qa_1501,D,0.2,0.1
legal,legalbench_privacy_policy_qa_1501,V,0.7,0.8
legal,legalbench_privacy_policy_qa_1501,K,0.8,0.8
legal,legalbench_privacy_policy_qa_1501,S,0.2,0.1
legal,legalbench_privacy_policy_qa_1127,D,0.2,0.1
legal,legalbench_privacy_policy_qa_1127,V,0.7,0.7
legal,legalbench_privacy_policy_qa_1127,K,0.8,0.7
legal,legalbench_privacy_policy_qa_1127,S,0.2,0.1
legal,legalbench_privacy_policy_qa_2744,D,0.2,0.1
legal,legalbench_privacy_policy_qa_2744,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2744,K,0.8,0.8
legal,legalbench_privacy_policy_qa_2744,S,0.2,0.2
legal,legalbench_privacy_policy_qa_2974,D,0.2,0.1
legal,legalbench_privacy_policy_qa_2974,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2974,K,0.8,0.8
legal,legalbench_privacy_policy_qa_2974,S,0.2,0.3
legal,legalbench_privacy_policy_qa_2884,D,0.2,0.1
legal,legalbench_privacy_policy_qa_2884,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2884,K,0.8,0.8
legal,legalbench_privacy_policy_qa_2884,S,0.2,0.1
legal,legalbench_privacy_policy_qa_2536,D,0.2,0.1
legal,legalbench_privacy_policy_qa_2536,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2536,K,0.8,0.8
legal,legalbench_privacy_policy_qa_2536,S,0.2,0.0
legal,legalbench_privacy_policy_qa_989,D,0.2,0.0
legal,legalbench_privacy_policy_qa_989,V,0.7,0.7
legal,legalbench_privacy_policy_qa_989,K,0.8,0.8
legal,legalbench_privacy_policy_qa_989,S,0.2,0.0
legal,legalbench_privacy_policy_qa_2271,D,0.2,0.1
legal,legalbench_privacy_policy_qa_2271,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2271,K,0.8,0.8
legal,legalbench_privacy_policy_qa_2271,S,0.2,0.1
legal,legalbench_privacy_policy_qa_2362,D,0.2,0.1
legal,legalbench_privacy_policy_qa_2362,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2362,K,0.8,0.8
legal,legalbench_privacy_policy_qa_2362,S,0.2,0.1
legal,legalbench_privacy_policy_qa_1977,D,0.2,0.1
legal,legalbench_privacy_policy_qa_1977,V,0.7,0.7
legal,legalbench_privacy_policy_qa_1977,K,0.8,0.8
legal,legalbench_privacy_policy_qa_1977,S,0.2,0.3
legal,legalbench_privacy_policy_qa_2375,D,0.2,0.2
legal,legalbench_privacy_policy_qa_2375,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2375,K,0.8,0.8
legal,legalbench_privacy_policy_qa_2375,S,0.2,0.3
legal,legalbench_privacy_policy_qa_1938,D,0.2,0.1
legal,legalbench_privacy_policy_qa_1938,V,0.8,0.7
legal,legalbench_privacy_policy_qa_1938,K,0.7,0.8
legal,legalbench_privacy_policy_qa_1938,S,0.2,0.1
legal,legalbench_privacy_policy_qa_1012,D,0.2,0.1
legal,legalbench_privacy_policy_qa_1012,V,0.7,0.7
legal,legalbench_privacy_policy_qa_1012,K,0.8,0.8
legal,legalbench_privacy_policy_qa_1012,S,0.2,0.1
legal,legalbench_privacy_policy_qa_2966,D,0.2,0.0
legal,legalbench_privacy_policy_qa_2966,V,0.7,0.8
legal,legalbench_privacy_policy_qa_2966,K,0.8,0.8
legal,legalbench_privacy_policy_qa_2966,S,0.2,0.1
legal,legalbench_privacy_policy_qa_631,D,0.2,0.2
legal,legalbench_privacy_policy_qa_631,V,0.7,0.7
legal,legalbench_privacy_policy_qa_631,K,0.8,0.8
legal,legalbench_privacy_policy_qa_631,S,0.2,0.1
legal,legalbench_privacy_policy_qa_2976,D,0.2,0.1
legal,legalbench_privacy_policy_qa_2976,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2976,K,0.8,0.8
legal,legalbench_privacy_policy_qa_2976,S,0.2,0.1
legal,legalbench_privacy_policy_qa_2907,D,0.2,0.1
legal,legalbench_privacy_policy_qa_2907,V,0.7,0.8
legal,legalbench_privacy_policy_qa_2907,K,0.8,0.9
legal,legalbench_privacy_policy_qa_2907,S,0.2,0.1
legal,legalbench_privacy_policy_qa_1803,D,0.2,0.1
legal,legalbench_privacy_policy_qa_1803,V,0.7,0.7
legal,legalbench_privacy_policy_qa_1803,K,0.8,0.9
legal,legalbench_privacy_policy_qa_1803,S,0.2,0.1
legal,legalbench_privacy_policy_qa_1906,D,0.2,0.1
legal,legalbench_privacy_policy_qa_1906,V,0.7,0.7
legal,legalbench_privacy_policy_qa_1906,K,0.8,0.8
legal,legalbench_privacy_policy_qa_1906,S,0.2,0.2
legal,legalbench_privacy_policy_qa_1185,D,0.2,0.2
legal,legalbench_privacy_policy_qa_1185,V,0.7,0.7
legal,legalbench_privacy_policy_qa_1185,K,0.8,0.8
legal,legalbench_privacy_policy_qa_1185,S,0.4,0.2
legal,legalbench_privacy_policy_qa_2174,D,0.2,0.1
legal,legalbench_privacy_policy_qa_2174,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2174,K,0.9,0.8
legal,legalbench_privacy_policy_qa_2174,S,0.2,0.1
legal,legalbench_privacy_policy_qa_1449,D,0.2,0.1
legal,legalbench_privacy_policy_qa_1449,V,0.7,0.7
legal,legalbench_privacy_policy_qa_1449,K,0.8,0.8
legal,legalbench_privacy_policy_qa_1449,S,0.2,0.1
legal,legalbench_privacy_policy_qa_2393,D,0.2,0.1
legal,legalbench_privacy_policy_qa_2393,V,0.7,0.7
legal,legalbench_privacy_policy_qa_2393,K,0.8,0.8
legal,legalbench_privacy_policy_qa_2393,S,0.2,0.2
legal,legalbench_privacy_policy_qa_1844,D,0.2,0.0
legal,legalbench_privacy_policy_qa_1844,V,0.7,0.7
legal,legalbench_privacy_policy_qa_1844,K,0.8,0.8
legal,legalbench_privacy_policy_qa_1844,S,0.2,0.0
legal,legalbench_privacy_policy_qa_1826,D,0.2,0.0
legal,legalbench_privacy_policy_qa_1826,V,0.7,0.7
legal,legalbench_privacy_policy_qa_1826,K,0.8,0.8
legal,legalbench_privacy_policy_qa_1826,S,0.2,0.0
legal,legalbench_privacy_policy_qa_2605,D,0.2,0.0
legal,legalbench_privacy_policy_qa_2605,V,0.7,0.8
legal,legalbench_privacy_policy_qa_2605,K,0.8,0.9
legal,legalbench_privacy_policy_qa_2605,S,0.2,0.5
legal,legalbench_privacy_policy_qa_1237,D,0.2,0.1
legal,legalbench_privacy_policy_qa_1237,V,0.7,0.7
legal,legalbench_privacy_policy_qa_1237,K,0.8,0.8
legal,legalbench_privacy_policy_qa_1237,S,0.2,0.1
code,mbpp_225,D,0.4,0.2
code,mbpp_225,V,1.0,1.0
code,mbpp_225,K,0.7,0.6
code,mbpp_225,S,0.2,0.1
code,mbpp_452,D,0.5,0.1
code,mbpp_452,V,1.0,1.0
code,mbpp_452,K,0.3,0.5
code,mbpp_452,S,0.5,0.1
code,mbpp_554,D,0.9,0.3
code,mbpp_554,V,1.0,1.0
code,mbpp_554,K,0.0,0.5
code,mbpp_554,S,0.1,0.6
code,mbpp_180,D,0.8,0.2
code,mbpp_180,V,1.0,1.0
code,mbpp_180,K,0.0,0.5
code,mbpp_180,S,0.0,0.5
code,humaneval_114,D,0.2,0.2
code,humaneval_114,V,1.0,1.0
code,humaneval_114,K,0.0,0.5
code,humaneval_114,S,0.2,0.6
code,mbpp_74,D,0.9,0.0
code,mbpp_74,V,1.0,1.0
code,mbpp_74,K,0.5,0.5
code,mbpp_74,S,0.0,0.0
code,mbpp_440,D,0.2,0.2
code,mbpp_440,V,1.0,1.0
code,mbpp_440,K,0.3,0.7
code,mbpp_440,S,0.1,0.2
code,humaneval_6,D,0.8,1.0
code,humaneval_6,V,1.0,1.0
code,humaneval_6,K,0.0,0.5
code,humaneval_6,S,0.5,0.3
code,mbpp_120,D,0.7,0.3
code,mbpp_120,V,1.0,1.0
code,mbpp_120,K,0.0,0.5
code,mbpp_120,S,0.5,0.5
code,mbpp_617,D,0.8,0.1
code,mbpp_617,V,1.0,1.0
code,mbpp_617,K,0.0,0.5
code,mbpp_617,S,0.5,1.0
code,mbpp_595,D,0.8,0.3
code,mbpp_595,V,1.0,1.0
code,mbpp_595,K,0.0,0.5
code,mbpp_595,S,0.2,0.8
code,mbpp_39,D,0.7,0.2
code,mbpp_39,V,1.0,1.0
code,mbpp_39,K,0.3,0.6
code,mbpp_39,S,0.5,0.1
code,mbpp_590,D,0.7,0.3
code,mbpp_590,V,1.0,1.0
code,mbpp_590,K,0.3,0.4
code,mbpp_590,S,0.5,0.6
code,humaneval_30,D,0.8,0.9
code,humaneval_30,V,1.0,1.0
code,humaneval_30,K,0.0,0.5
code,humaneval_30,S,0.2,0.7
code,mbpp_86,D,0.8,0.2
code,mbpp_86,V,1.0,1.0
code,mbpp_86,K,0.0,0.5
code,mbpp_86,S,0.2,0.7
code,mbpp_59,D,0.8,0.4
code,mbpp_59,V,1.0,1.0
code,mbpp_59,K,0.0,0.5
code,mbpp_59,S,0.2,0.6
code,mbpp_594,D,0.8,0.1
code,mbpp_594,V,1.0,1.0
code,mbpp_594,K,0.0,0.4
code,mbpp_594,S,0.2,0.5
code,mbpp_664,D,0.7,0.2
code,mbpp_664,V,1.0,1.0
code,mbpp_664,K,0.5,0.7
code,mbpp_664,S,0.5,0.7
code,humaneval_142,D,0.7,0.7
code,humaneval_142,V,1.0,1.0
code,humaneval_142,K,0.0,0.5
code,humaneval_142,S,0.2,0.5
code,humaneval_25,D,0.7,0.2
code,humaneval_25,V,1.0,1.0
code,humaneval_25,K,0.3,0.5
code,humaneval_25,S,0.2,0.3
code,mbpp_268,D,0.7,0.1
code,mbpp_268,V,1.0,1.0
code,mbpp_268,K,0.5,0.7
code,mbpp_268,S,0.2,0.1
code,humaneval_27,D,0.8,0.8
code,humaneval_27,V,1.0,1.0
code,humaneval_27,K,0.0,0.5
code,humaneval_27,S,0.2,0.7
code,humaneval_89,D,0.8,0.8
code,humaneval_89,V,1.0,1.0
code,humaneval_89,K,0.0,0.5
code,humaneval_89,S,0.2,0.5
code,humaneval_159,D,0.8,0.1
code,humaneval_159,V,1.0,1.0
code,humaneval_159,K,0.0,0.0
code,humaneval_159,S,0.2,0.0
code,humaneval_32,D,0.5,0.2
code,humaneval_32,V,1.0,1.0
code,humaneval_32,K,0.5,0.6
code,humaneval_32,S,0.5,0.9
code,mbpp_661,D,0.9,0.1
code,mbpp_661,V,1.0,1.0
code,mbpp_661,K,0.0,0.1
code,mbpp_661,S,0.0,0.6
code,mbpp_64,D,0.8,0.8
code,mbpp_64,V,1.0,1.0
code,mbpp_64,K,0.0,0.5
code,mbpp_64,S,0.5,0.5
code,mbpp_726,D,0.8,0.2
code,mbpp_726,V,1.0,1.0
code,mbpp_726,K,0.0,0.6
code,mbpp_726,S,0.2,0.7
code,humaneval_104,D,0.8,0.7
code,humaneval_104,V,1.0,1.0
code,humaneval_104,K,0.0,0.5
code,humaneval_104,S,0.2,0.3
code,mbpp_569,D,0.8,0.3
code,mbpp_569,V,1.0,1.0
code,mbpp_569,K,0.0,0.5
code,mbpp_569,S,0.2,0.6
code,mbpp_56,D,0.5,0.3
code,mbpp_56,V,1.0,1.0
code,mbpp_56,K,0.7,0.8
code,mbpp_56,S,0.2,0.6
code,mbpp_265,D,0.2,0.1
code,mbpp_265,V,1.0,1.0
code,mbpp_265,K,0.0,0.5
code,mbpp_265,S,0.0,0.1
code,mbpp_394,D,0.9,0.1
code,mbpp_394,V,1.0,1.0
code,mbpp_394,K,0.0,0.5
code,mbpp_394,S,0.1,0.6
code,mbpp_295,D,0.7,0.3
code,mbpp_295,V,1.0,1.0
code,mbpp_295,K,0.5,0.6
code,mbpp_295,S,0.4,0.6
code,mbpp_117,D,0.8,0.3
code,mbpp_117,V,1.0,1.0
code,mbpp_117,K,0.0,0.4
code,mbpp_117,S,0.2,0.6
code,mbpp_61,D,0.7,0.2
code,mbpp_61,V,1.0,1.0
code,mbpp_61,K,0.5,0.5
code,mbpp_61,S,0.5,0.8
code,mbpp_749,D,0.8,0.1
code,mbpp_749,V,1.0,1.0
code,mbpp_749,K,0.0,0.1
code,mbpp_749,S,0.0,0.0
code,humaneval_163,D,0.8,0.2
code,humaneval_163,V,1.0,1.0
code,humaneval_163,K,0.0,0.3
code,humaneval_163,S,0.2,0.5
code,mbpp_816,D,0.7,0.3
code,mbpp_816,V,1.0,1.0
code,mbpp_816,K,0.3,0.5
code,mbpp_816,S,0.5,0.8
code,mbpp_490,D,0.8,0.3
code,mbpp_490,V,1.0,1.0
code,mbpp_490,K,0.0,0.5
code,mbpp_490,S,0.2,0.5
code,mbpp_613,D,0.7,0.3
code,mbpp_613,V,1.0,1.0
code,mbpp_613,K,0.5,0.5
code,mbpp_613,S,0.3,0.5
code,mbpp_410,D,0.8,0.1
code,mbpp_410,V,1.0,1.0
code,mbpp_410,K,0.2,0.3
code,mbpp_410,S,0.4,0.5
code,mbpp_501,D,0.5,0.1
code,mbpp_501,V,1.0,1.0
code,mbpp_501,K,0.0,0.4
code,mbpp_501,S,0.2,0.5
code,mbpp_439,D,0.8,0.3
code,mbpp_439,V,1.0,1.0
code,mbpp_439,K,0.2,0.3
code,mbpp_439,S,0.5,0.5
code,humaneval_95,D,0.8,0.3
code,humaneval_95,V,1.0,1.0
code,humaneval_95,K,0.0,0.5
code,humaneval_95,S,0.2,0.5
code,mbpp_184,D,0.7,0.2
code,mbpp_184,V,1.0,1.0
code,mbpp_184,K,0.3,0.5
code,mbpp_184,S,0.2,0.6
code,humaneval_94,D,0.7,0.6
code,humaneval_94,V,1.0,1.0
code,humaneval_94,K,0.5,0.2
code,humaneval_94,S,0.3,0.6
code,mbpp_353,D,0.7,0.7
code,mbpp_353,V,1.0,1.0
code,mbpp_353,K,0.3,0.5
code,mbpp_353,S,0.5,0.5
code,mbpp_528,D,0.8,0.2
code,mbpp_528,V,1.0,1.0
code,mbpp_528,K,0.0,0.1
code,mbpp_528,S,0.2,0.6
code,mbpp_550,D,0.8,0.1
code,mbpp_550,V,1.0,1.0
code,mbpp_550,K,0.0,0.5
code,mbpp_550,S,0.2,0.6
logic,moral_scenarios_test_872,D,0.2,0.9
