domain,model,agent_count,question_id,is_correct
medical,gpt_4o,1,medqa_2709,True
medical,gpt_4o,1,medqa_2507,True
medical,gpt_4o,1,medqa_3826,False
medical,gpt_4o,1,medqa_868,False
medical,gpt_4o,1,medqa_4238,False
medical,gpt_4o,1,medqa_3417,True
medical,gpt_4o,1,medqa_2401,False
medical,gpt_4o,1,medqa_4036,True
medical,gpt_4o,1,medqa_2962,False
medical,gpt_4o,1,medqa_801,False
medical,gpt_4o,1,medqa_1638,True
medical,gpt_4o,1,medqa_3396,False
medical,gpt_4o,1,medqa_1371,False
medical,gpt_4o,1,medqa_3205,True
medical,gpt_4o,1,medqa_3232,True
medical,gpt_4o,1,medqa_4813,False
medical,gpt_4o,1,medqa_508,False
medical,gpt_4o,1,medqa_855,False
medical,gpt_4o,1,medqa_2348,False
medical,gpt_4o,1,medqa_4097,True
medical,gpt_4o,1,medqa_2686,False
medical,gpt_4o,1,medqa_1467,True
medical,gpt_4o,1,medqa_3116,False
medical,gpt_4o,1,medqa_3657,False
medical,gpt_4o,1,medqa_4204,False
medical,gpt_4o,1,medqa_4756,False
medical,gpt_4o,1,medqa_4446,True
medical,gpt_4o,1,medqa_567,False
medical,gpt_4o,1,medqa_2911,False
medical,gpt_4o,1,medqa_386,False
medical,gpt_4o,1,medqa_2797,False
medical,gpt_4o,1,medqa_2723,False
medical,gpt_4o,1,medqa_787,True
medical,gpt_4o,1,medqa_2575,True
medical,gpt_4o,1,medqa_2342,False
medical,gpt_4o,1,medqa_3721,False
medical,gpt_4o,1,medqa_2028,False
medical,gpt_4o,1,medqa_2520,False
medical,gpt_4o,1,medqa_416,False
medical,gpt_4o,1,medqa_4901,False
medical,gpt_4o,1,medqa_3050,False
medical,gpt_4o,1,medqa_256,False
medical,gpt_4o,1,medqa_812,True
medical,gpt_4o,1,medqa_2327,False
medical,gpt_4o,1,medqa_2036,False
medical,gpt_4o,1,medqa_1004,False
medical,gpt_4o,1,medqa_2961,True
medical,gpt_4o,1,medqa_448,False
medical,gpt_4o,1,medqa_3344,False
medical,gpt_4o,1,medqa_704,False
medical,gpt_4o,1,medqa_4698,True
medical,gpt_4o,1,medqa_649,False
medical,gpt_4o,1,medqa_3603,False
medical,gpt_4o,1,medqa_4980,False
medical,gpt_4o,1,medqa_1002,False
medical,gpt_4o,1,medqa_2179,True
medical,gpt_4o,1,medqa_2481,False
medical,gpt_4o,1,medqa_1322,False
medical,gpt_4o,1,medqa_2727,False
medical,gpt_4o,1,medqa_1452,False
medical,gpt_4o,1,medqa_1440,True
medical,gpt_4o,1,medqa_2674,True
medical,gpt_4o,1,medqa_4441,True
medical,gpt_4o,1,medqa_4295,True
medical,gpt_4o,1,medqa_2127,False
medical,gpt_4o,1,medqa_2035,True
medical,gpt_4o,1,medqa_4593,True
medical,gpt_4o,1,medqa_121,False
medical,gpt_4o,1,medqa_2181,True
medical,gpt_4o,1,medqa_3761,False
medical,gpt_4o,1,medqa_3305,False
medical,gpt_4o,1,medqa_790,False
medical,gpt_4o,1,medqa_538,True
medical,gpt_4o,1,medqa_2429,False
medical,gpt_4o,1,medqa_1007,True
medical,gpt_4o,1,medqa_4306,True
medical,gpt_4o,1,medqa_4062,True
medical,gpt_4o,1,medqa_1430,True
medical,gpt_4o,1,medqa_4808,True
medical,gpt_4o,1,medqa_3027,True
medical,gpt_4o,1,medqa_3845,True
medical,gpt_4o,1,medqa_3819,False
medical,gpt_4o,1,medqa_4681,True
medical,gpt_4o,1,medqa_4312,False
medical,gpt_4o,1,medqa_4384,False
medical,gpt_4o,1,medqa_1769,False
medical,gpt_4o,1,medqa_3037,False
medical,gpt_4o,1,medqa_1011,False
medical,gpt_4o,1,medqa_3044,False
medical,gpt_4o,1,medqa_628,True
medical,gpt_4o,1,medqa_3140,False
medical,gpt_4o,1,medqa_4275,False
medical,gpt_4o,1,medqa_1092,False
medical,gpt_4o,1,medqa_4123,False
medical,gpt_4o,1,medqa_2725,False
medical,gpt_4o,1,medqa_1009,False
medical,gpt_4o,1,medqa_759,False
medical,gpt_4o,1,medqa_96,False
medical,gpt_4o,1,medqa_4636,False
medical,gpt_4o,1,medqa_4445,True
medical,gpt_4o,1,medqa_4351,True
medical,gpt_4o,1,medqa_4260,False
medical,gpt_4o,1,medqa_1986,False
medical,gpt_4o,1,medqa_1328,True
medical,gpt_4o,1,medqa_209,True
medical,gpt_4o,1,medqa_3853,True
medical,gpt_4o,1,medqa_3994,False
medical,gpt_4o,1,medqa_238,False
medical,gpt_4o,1,medqa_4110,False
medical,gpt_4o,1,medqa_3935,False
medical,gpt_4o,1,medqa_2756,False
medical,gpt_4o,1,medqa_2338,False
medical,gpt_4o,1,medqa_800,False
medical,gpt_4o,1,medqa_56,True
medical,gpt_4o,1,medqa_2096,False
medical,gpt_4o,1,medqa_502,False
medical,gpt_4o,1,medqa_2582,True
medical,gpt_4o,1,medqa_1012,False
medical,gpt_4o,1,medqa_4641,True
medical,gpt_4o,1,medqa_4005,True
medical,gpt_4o,1,medqa_156,False
medical,gpt_4o,1,medqa_149,False
medical,gpt_4o,1,medqa_1482,False
medical,gpt_4o,1,medqa_928,False
medical,gpt_4o,1,medqa_534,False
medical,gpt_4o,1,medqa_3893,False
medical,gpt_4o,1,medqa_4910,False
medical,gpt_4o,1,medqa_2129,False
medical,gpt_4o,1,medqa_3909,False
medical,gpt_4o,1,medqa_4706,True
medical,gpt_4o,1,medqa_666,False
medical,gpt_4o,1,medqa_1460,False
medical,gpt_4o,1,medqa_1605,False
medical,gpt_4o,1,medqa_2571,False
medical,gpt_4o,1,medqa_1777,False
medical,gpt_4o,1,medqa_191,False
medical,gpt_4o,1,medqa_2284,False
medical,gpt_4o,1,medqa_4920,False
medical,gpt_4o,1,medqa_980,False
medical,gpt_4o,1,medqa_825,False
medical,gpt_4o,1,medqa_1893,False
medical,gpt_4o,1,medqa_40,False
medical,gpt_4o,1,medqa_4486,False
medical,gpt_4o,1,medqa_3285,False
medical,gpt_4o,1,medqa_1421,False
medical,gpt_4o,1,medqa_1796,False
medical,gpt_4o,1,medqa_2207,False
medical,gpt_4o,1,medqa_2720,False
medical,gpt_4o,1,medqa_131,False
medical,gpt_4o,1,medqa_1863,True
medical,gpt_4o,1,medqa_2688,False
medical,gpt_4o,1,medqa_3581,False
medical,gpt_4o,1,medqa_4811,False
medical,gpt_4o,1,medqa_151,False
medical,gpt_4o,1,medqa_4672,False
medical,gpt_4o,1,medqa_1894,False
medical,gpt_4o,1,medqa_1800,True
medical,gpt_4o,1,medqa_2724,False
medical,gpt_4o,1,medqa_3779,False
medical,gpt_4o,1,medqa_4147,False
medical,gpt_4o,1,medqa_116,False
medical,gpt_4o,1,medqa_194,False
medical,gpt_4o,1,medqa_1523,False
medical,gpt_4o,1,medqa_3136,False
medical,gpt_4o,1,medqa_4735,False
medical,gpt_4o,1,medqa_2180,False
medical,gpt_4o,1,medqa_1434,True
medical,gpt_4o,1,medqa_4156,False
medical,gpt_4o,1,medqa_4718,True
medical,gpt_4o,1,medqa_1816,False
medical,gpt_4o,1,medqa_2522,False
medical,gpt_4o,1,medqa_4474,False
medical,gpt_4o,1,medqa_1881,False
medical,gpt_4o,1,medqa_4668,False
medical,gpt_4o,1,medqa_1785,False
medical,gpt_4o,1,medqa_1753,False
medical,gpt_4o,1,medqa_2362,False
medical,gpt_4o,1,medqa_4691,True
medical,gpt_4o,1,medqa_1635,False
medical,gpt_4o,1,medqa_3009,False
medical,gpt_4o,1,medqa_3500,False
medical,gpt_4o,1,medqa_3642,True
medical,gpt_4o,1,medqa_3172,False
medical,gpt_4o,1,medqa_3433,False
medical,gpt_4o,1,medqa_2831,True
medical,gpt_4o,1,medqa_3234,True
medical,gpt_4o,1,medqa_4580,True
medical,gpt_4o,1,medqa_1099,False
medical,gpt_4o,1,medqa_3699,False
medical,gpt_4o,1,medqa_3229,False
medical,gpt_4o,1,medqa_4063,False
medical,gpt_4o,1,medqa_515,False
medical,gpt_4o,1,medqa_2,False
medical,gpt_4o,1,medqa_2999,False
medical,gpt_4o,1,medqa_398,True
medical,gpt_4o,1,medqa_214,True
medical,gpt_4o,1,medqa_1015,False
medical,gpt_4o,1,medqa_4430,True
medical,gpt_4o,1,medqa_2860,True
medical,gpt_4o,1,medqa_387,False
medical,gpt_4o,1,medqa_2233,False
medical,gpt_4o,1,medqa_385,True
medical,gpt_4o,1,medqa_1049,False
medical,gpt_4o,1,medqa_4719,True
medical,gpt_4o,1,medqa_901,True
medical,gpt_4o,1,medqa_722,False
medical,gpt_4o,1,medqa_1317,False
medical,gpt_4o,1,medqa_1793,False
medical,gpt_4o,1,medqa_2845,True
medical,gpt_4o,1,medqa_983,False
medical,gpt_4o,1,medqa_861,True
medical,gpt_4o,1,medqa_4322,False
medical,gpt_4o,1,medqa_1547,False
medical,gpt_4o,1,medqa_2789,True
medical,gpt_4o,1,medqa_3586,False
medical,gpt_4o,1,medqa_3661,False
medical,gpt_4o,1,medqa_3328,False
medical,gpt_4o,1,medqa_977,True
medical,gpt_4o,1,medqa_554,False
medical,gpt_4o,1,medqa_1121,False
medical,gpt_4o,1,medqa_1211,False
medical,gpt_4o,1,medqa_2353,False
medical,gpt_4o,1,medqa_756,False
medical,gpt_4o,1,medqa_3609,False
medical,gpt_4o,1,medqa_1668,False
medical,gpt_4o,1,medqa_2004,False
medical,gpt_4o,1,medqa_1787,False
medical,gpt_4o,1,medqa_2079,False
medical,gpt_4o,1,medqa_536,False
medical,gpt_4o,1,medqa_1390,False
medical,gpt_4o,1,medqa_2497,True
medical,gpt_4o,1,medqa_1474,True
medical,gpt_4o,1,medqa_2553,True
medical,gpt_4o,1,medqa_1334,False
medical,gpt_4o,1,medqa_2683,False
medical,gpt_4o,1,medqa_212,False
medical,gpt_4o,1,medqa_3130,False
medical,gpt_4o,1,medqa_3144,False
medical,gpt_4o,1,medqa_1104,False
medical,gpt_4o,1,medqa_336,True
medical,gpt_4o,1,medqa_357,False
medical,gpt_4o,1,medqa_2039,False
medical,gpt_4o,1,medqa_4750,False
medical,gpt_4o,1,medqa_1699,False
medical,gpt_4o,1,medqa_4072,False
medical,gpt_4o,1,medqa_2960,False
medical,gpt_4o,1,medqa_911,False
medical,gpt_4o,1,medqa_4048,True
medical,gpt_4o,1,medqa_2328,False
medical,gpt_4o,1,medqa_3623,True
medical,gpt_4o,1,medqa_2197,False
medical,gpt_4o,1,medqa_1364,False
medical,gpt_4o,1,medqa_4342,False
medical,gpt_4o,1,medqa_3712,False
medical,gpt_4o,1,medqa_689,False
medical,gpt_4o,1,medqa_304,False
medical,gpt_4o,1,medqa_4639,True
medical,gpt_4o,1,medqa_3675,True
medical,gpt_4o,1,medqa_3566,False
medical,gpt_4o,1,medqa_4535,False
medical,gpt_4o,1,medqa_3692,True
medical,gpt_4o,1,medqa_2435,False
medical,gpt_4o,1,medqa_1584,False
medical,gpt_4o,1,medqa_1116,False
medical,gpt_4o,1,medqa_798,False
medical,gpt_4o,1,medqa_1849,False
medical,gpt_4o,1,medqa_4528,False
medical,gpt_4o,1,medqa_680,True
medical,gpt_4o,1,medqa_87,False
medical,gpt_4o,1,medqa_404,False
medical,gpt_4o,1,medqa_2309,True
medical,gpt_4o,1,medqa_4091,False
medical,gpt_4o,1,medqa_4934,False
medical,gpt_4o,1,medqa_3392,False
medical,gpt_4o,1,medqa_374,True
medical,gpt_4o,1,medqa_3132,True
medical,gpt_4o,1,medqa_2372,False
medical,gpt_4o,1,medqa_234,False
medical,gpt_4o,1,medqa_1154,True
medical,gpt_4o,1,medqa_1046,True
medical,gpt_4o,1,medqa_4025,False
medical,gpt_4o,1,medqa_2287,True
medical,gpt_4o,1,medqa_4302,False
medical,gpt_4o,1,medqa_3877,False
medical,gpt_4o,1,medqa_625,False
medical,gpt_4o,1,medqa_3941,True
medical,gpt_4o,1,medqa_443,False
medical,gpt_4o,1,medqa_347,True
medical,gpt_4o,1,medqa_1739,True
medical,gpt_4o,1,medqa_3557,False
medical,gpt_4o,1,medqa_2859,False
medical,gpt_4o,1,medqa_2336,False
medical,gpt_4o,1,medqa_2692,False
medical,gpt_4o,1,medqa_1666,True
medical,gpt_4o,1,medqa_758,True
medical,gpt_4o,1,medqa_975,False
medical,gpt_4o,1,medqa_1615,True
medical,gpt_4o,1,medqa_255,True
medical,gpt_4o,1,medqa_172,True
medical,gpt_4o,1,medqa_4489,True
medical,gpt_4o,1,medqa_2514,False
medical,gpt_4o,1,medqa_3421,False
medical,gpt_4o,1,medqa_4380,True
medical,gpt_4o,1,medqa_2427,False
medical,gpt_4o,1,medqa_449,False
medical,gpt_4o,1,medqa_32,True
medical,gpt_4o,1,medqa_2460,False
medical,gpt_4o,1,medqa_4367,True
medical,gpt_4o,1,medqa_1644,False
medical,gpt_4o,1,medqa_2211,False
medical,gpt_4o,1,medqa_1196,False
medical,gpt_4o,1,medqa_963,False
medical,gpt_4o,1,medqa_2167,False
medical,gpt_4o,1,medqa_4884,True
medical,gpt_4o,1,medqa_1912,False
medical,gpt_4o,1,medqa_1957,False
medical,gpt_4o,1,medqa_1711,False
medical,gpt_4o,1,medqa_3442,False
medical,gpt_4o,1,medqa_1279,True
medical,gpt_4o,1,medqa_3523,False
medical,gpt_4o,1,medqa_4992,False
medical,gpt_4o,1,medqa_4680,False
medical,gpt_4o,1,medqa_4012,True
medical,gpt_4o,1,medqa_471,False
medical,gpt_4o,1,medqa_4929,True
medical,gpt_4o,1,medqa_3277,False
medical,gpt_4o,1,medqa_4757,False
medical,gpt_4o,1,medqa_915,True
medical,gpt_4o,1,medqa_897,False
medical,gpt_4o,1,medqa_4356,False
medical,gpt_4o,1,medqa_1611,False
medical,gpt_4o,1,medqa_2787,False
medical,gpt_4o,1,medqa_2783,False
medical,gpt_4o,1,medqa_3630,False
medical,gpt_4o,1,medqa_3736,False
medical,gpt_4o,1,medqa_3691,False
medical,gpt_4o,1,medqa_2888,True
medical,gpt_4o,1,medqa_1606,False
medical,gpt_4o,1,medqa_2418,False
medical,gpt_4o,1,medqa_3265,True
medical,gpt_4o,1,medqa_3828,False
medical,gpt_4o,1,medqa_3121,True
medical,gpt_4o,1,medqa_969,False
medical,gpt_4o,1,medqa_572,True
medical,gpt_4o,1,medqa_4961,False
medical,gpt_4o,1,medqa_4539,False
medical,gpt_4o,1,medqa_1418,False
medical,gpt_4o,1,medqa_549,False
medical,gpt_4o,1,medqa_3335,False
medical,gpt_4o,1,medqa_3782,False
medical,gpt_4o,1,medqa_2731,False
medical,gpt_4o,1,medqa_453,False
medical,gpt_4o,1,medqa_1181,True
medical,gpt_4o,1,medqa_4687,False
medical,gpt_4o,1,medqa_4553,True
medical,gpt_4o,1,medqa_1325,False
medical,gpt_4o,1,medqa_1732,False
medical,gpt_4o,1,medqa_170,True
medical,gpt_4o,1,medqa_794,False
medical,gpt_4o,1,medqa_500,False
medical,gpt_4o,1,medqa_4609,True
medical,gpt_4o,1,medqa_3430,True
medical,gpt_4o,1,medqa_1005,False
medical,gpt_4o,1,medqa_41,False
medical,gpt_4o,1,medqa_1341,True
medical,gpt_4o,1,medqa_2760,True
medical,gpt_4o,1,medqa_655,True
medical,gpt_4o,1,medqa_654,False
medical,gpt_4o,1,medqa_3881,True
medical,gpt_4o,1,medqa_3885,True
medical,gpt_4o,1,medqa_3308,True
medical,gpt_4o,1,medqa_1177,True
medical,gpt_4o,1,medqa_35,True
medical,gpt_4o,1,medqa_3415,False
medical,gpt_4o,1,medqa_4472,True
medical,gpt_4o,1,medqa_1001,False
medical,gpt_4o,1,medqa_2478,False
medical,gpt_4o,1,medqa_4732,False
medical,gpt_4o,1,medqa_294,True
medical,gpt_4o,1,medqa_4258,False
medical,gpt_4o,1,medqa_3664,False
medical,gpt_4o,1,medqa_1713,False
medical,gpt_4o,1,medqa_3629,True
medical,gpt_4o,1,medqa_3013,False
medical,gpt_4o,1,medqa_3457,False
medical,gpt_4o,1,medqa_334,False
medical,gpt_4o,1,medqa_3125,True
medical,gpt_4o,1,medqa_168,False
medical,gpt_4o,1,medqa_4366,False
medical,gpt_4o,1,medqa_3309,False
medical,gpt_4o,1,medqa_2113,True
medical,gpt_4o,1,medqa_2896,False
medical,gpt_4o,1,medqa_2508,False
medical,gpt_4o,1,medqa_3833,True
medical,gpt_4o,1,medqa_9,False
medical,gpt_4o,1,medqa_228,False
medical,gpt_4o,1,medqa_3902,False
medical,gpt_4o,1,medqa_1648,False
medical,gpt_4o,1,medqa_3738,False
medical,gpt_4o,1,medqa_1232,True
medical,gpt_4o,1,medqa_2025,False
medical,gpt_4o,1,medqa_1548,True
medical,gpt_4o,1,medqa_1264,False
medical,gpt_4o,1,medqa_519,False
medical,gpt_4o,1,medqa_3010,False
medical,gpt_4o,1,medqa_1249,True
medical,gpt_4o,1,medqa_3162,False
medical,gpt_4o,1,medqa_3226,True
medical,gpt_4o,1,medqa_329,False
medical,gpt_4o,1,medqa_2434,False
medical,gpt_4o,1,medqa_314,False
medical,gpt_4o,1,medqa_3710,False
medical,gpt_4o,1,medqa_767,True
medical,gpt_4o,1,medqa_2446,True
medical,gpt_4o,1,medqa_1040,True
medical,gpt_4o,1,medqa_1182,False
medical,gpt_4o,1,medqa_4588,False
medical,gpt_4o,1,medqa_3461,False
medical,gpt_4o,1,medqa_2225,False
medical,gpt_4o,1,medqa_4798,True
medical,gpt_4o,1,medqa_1858,False
medical,gpt_4o,1,medqa_600,False
medical,gpt_4o,1,medqa_102,False
medical,gpt_4o,1,medqa_2536,False
medical,gpt_4o,1,medqa_3096,True
medical,gpt_4o,1,medqa_2517,True
medical,gpt_4o,1,medqa_4487,False
medical,gpt_4o,1,medqa_3146,True
medical,gpt_4o,1,medqa_4709,False
medical,gpt_4o,1,medqa_3169,False
medical,gpt_4o,1,medqa_61,True
medical,gpt_4o,1,medqa_1512,False
medical,gpt_4o,1,medqa_4810,False
medical,gpt_4o,1,medqa_1675,True
medical,gpt_4o,1,medqa_4375,True
medical,gpt_4o,1,medqa_3742,False
medical,gpt_4o,1,medqa_1106,False
medical,gpt_4o,1,medqa_3484,False
medical,gpt_4o,1,medqa_2295,False
medical,gpt_4o,1,medqa_3538,False
medical,gpt_4o,1,medqa_437,False
medical,gpt_4o,1,medqa_1449,False
medical,gpt_4o,1,medqa_113,False
medical,gpt_4o,1,medqa_2609,False
medical,gpt_4o,1,medqa_3693,False
medical,gpt_4o,1,medqa_3126,False
medical,gpt_4o,1,medqa_3602,False
medical,gpt_4o,1,medqa_1653,False
medical,gpt_4o,1,medqa_3242,False
medical,gpt_4o,1,medqa_4513,False
medical,gpt_4o,1,medqa_4575,False
medical,gpt_4o,1,medqa_4359,False
medical,gpt_4o,1,medqa_2646,False
medical,gpt_4o,1,medqa_785,False
medical,gpt_4o,1,medqa_4337,False
medical,gpt_4o,1,medqa_3932,True
medical,gpt_4o,1,medqa_3582,True
medical,gpt_4o,1,medqa_58,False
medical,gpt_4o,1,medqa_1791,True
medical,gpt_4o,1,medqa_2352,False
medical,gpt_4o,1,medqa_4373,False
medical,gpt_4o,1,medqa_1833,False
medical,gpt_4o,1,medqa_2824,False
medical,gpt_4o,1,medqa_2842,True
medical,gpt_4o,1,medqa_4425,True
medical,gpt_4o,1,medqa_1373,True
medical,gpt_4o,1,medqa_247,False
medical,gpt_4o,1,medqa_1582,True
medical,gpt_4o,1,medqa_4040,False
medical,gpt_4o,1,medqa_224,False
medical,gpt_4o,1,medqa_1926,True
medical,gpt_4o,1,medqa_2297,True
medical,gpt_4o,1,medqa_2667,False
medical,gpt_4o,1,medqa_4747,False
medical,gpt_4o,1,medqa_879,True
medical,gpt_4o,1,medqa_2158,True
medical,gpt_4o,1,medqa_3141,False
medical,gpt_4o,1,medqa_2829,False
medical,gpt_4o,1,medqa_2151,False
medical,gpt_4o,1,medqa_571,False
medical,gpt_4o,1,medqa_3432,False
medical,gpt_4o,1,medqa_4122,False
medical,gpt_4o,1,medqa_4078,True
medical,gpt_4o,1,medqa_3253,False
medical,gpt_4o,1,medqa_2156,False
medical,gpt_4o,1,medqa_3794,False
medical,gpt_4o,1,medqa_3345,False
medical,gpt_4o,1,medqa_1014,False
medical,gpt_4o,1,medqa_4075,False
medical,gpt_4o,1,medqa_1670,False
medical,gpt_4o,1,medqa_1323,False
medical,gpt_4o,1,medqa_4105,False
medical,gpt_4o,1,medqa_4300,False
medical,gpt_4o,1,medqa_3042,False
medical,gpt_4o,1,medqa_1207,False
medical,gpt_4o,1,medqa_2722,False
medical,gpt_4o,1,medqa_1387,True
medical,gpt_4o,1,medqa_4648,False
medical,gpt_4o,1,medqa_2690,False
medical,gpt_4o,1,medqa_2097,True
medical,gpt_4o,1,medqa_1572,False
medical,gpt_4o,1,medqa_2169,True
medical,gpt_4o,1,medqa_4459,False
medical,gpt_4o,1,medqa_2607,True
medical,gpt_4o,1,medqa_3467,False
medical,gpt_4o,1,medqa_2747,False
medical,gpt_4o,1,medqa_4623,True
medical,gpt_4o,1,medqa_3056,False
medical,gpt_4o,1,medqa_4978,False
medical,gpt_4o,1,medqa_459,False
medical,gpt_4o,1,medqa_2649,False
medical,gpt_4o,1,medqa_2865,False
medical,gpt_4o,1,medqa_2054,False
medical,gpt_4o,1,medqa_3270,False
medical,gpt_4o,1,medqa_609,False
medical,gpt_4o,1,medqa_3950,False
medical,gpt_4o,1,medqa_616,False
medical,gpt_4o,1,medqa_1591,False
medical,gpt_4o,1,medqa_1194,True
medical,gpt_4o,1,medqa_1350,True
medical,gpt_4o,1,medqa_1952,False
medical,gpt_4o,1,medqa_4962,False
medical,gpt_4o,1,medqa_4520,False
medical,gpt_4o,1,medqa_3763,False
medical,gpt_4o,1,medqa_353,True
medical,gpt_4o,1,medqa_3754,False
medical,gpt_4o,1,medqa_2109,True
medical,gpt_4o,1,medqa_3889,False
medical,gpt_4o,1,medqa_3087,False
medical,gpt_4o,1,medqa_3266,False
medical,gpt_4o,1,medqa_243,False
medical,gpt_4o,1,medqa_4457,True
medical,gpt_4o,1,medqa_4550,False
medical,gpt_4o,1,medqa_4925,True
medical,gpt_4o,1,medqa_2628,False
medical,gpt_4o,1,medqa_540,False
medical,gpt_4o,1,medqa_148,True
medical,gpt_4o,1,medqa_3237,False
medical,gpt_4o,1,medqa_4590,True
medical,gpt_4o,1,medqa_3837,False
medical,gpt_4o,1,medqa_4479,False
medical,gpt_4o,1,medqa_1885,False
medical,gpt_4o,1,medqa_1940,True
medical,gpt_4o,1,medqa_3558,False
medical,gpt_4o,1,medqa_4148,False
medical,gpt_4o,1,medqa_4527,False
medical,gpt_4o,1,medqa_2671,True
medical,gpt_4o,1,medqa_287,False
medical,gpt_4o,1,medqa_284,False
medical,gpt_4o,1,medqa_3460,True
medical,gpt_4o,1,medqa_1034,True
medical,gpt_4o,1,medqa_263,False
medical,gpt_4o,1,medqa_258,False
medical,gpt_4o,1,medqa_3178,False
medical,gpt_4o,1,medqa_2588,True
medical,gpt_4o,1,medqa_4839,True
medical,gpt_4o,1,medqa_3033,True
medical,gpt_4o,1,medqa_1749,False
medical,gpt_4o,1,medqa_2661,False
medical,gpt_4o,1,medqa_4015,True
medical,gpt_4o,1,medqa_3355,False
medical,gpt_4o,1,medqa_592,False
medical,gpt_4o,1,medqa_2012,False
medical,gpt_4o,1,medqa_2307,False
medical,gpt_4o,1,medqa_3544,True
medical,gpt_4o,1,medqa_4195,False
medical,gpt_4o,1,medqa_3598,False
medical,gpt_4o,1,medqa_3090,False
medical,gpt_4o,1,medqa_3003,False
medical,gpt_4o,1,medqa_4101,False
medical,gpt_4o,1,medqa_266,True
medical,gpt_4o,1,medqa_2300,False
medical,gpt_4o,1,medqa_577,False
medical,gpt_4o,1,medqa_1821,False
medical,gpt_4o,1,medqa_1489,True
medical,gpt_4o,1,medqa_3587,False
medical,gpt_4o,1,medqa_2663,False
medical,gpt_4o,1,medqa_4880,False
medical,gpt_4o,1,medqa_1915,False
medical,gpt_4o,1,medqa_746,False
medical,gpt_4o,1,medqa_3594,True
medical,gpt_4o,1,medqa_2904,False
medical,gpt_4o,1,medqa_1394,False
medical,gpt_4o,1,medqa_2094,False
medical,gpt_4o,1,medqa_4565,False
